                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.85333,                 0.4754,                 1.1077,                0.95569,                0.87106,                0.91249,                 0.7682,                0.79548,                0.63969,                  1.031,             6.8767e-05,             6.8767e-05,             6.8767e-05
                     71,                0.85099,                0.46904,                 1.1116,                0.95086,                0.87669,                0.91214,                0.76604,                0.82163,                0.64735,                 1.0538,             6.6619e-05,             6.6619e-05,             6.6619e-05
                     72,                0.83944,                0.46642,                 1.1041,                0.94998,                0.87789,                0.91052,                0.76511,                0.80245,                0.63905,                 1.0426,             6.4471e-05,             6.4471e-05,             6.4471e-05
                     73,                0.83729,                 0.4609,                 1.0998,                0.95055,                0.87656,                0.91024,                0.76394,                0.80215,                0.63727,                 1.0327,             6.2322e-05,             6.2322e-05,             6.2322e-05
                     74,                 0.8396,                0.46336,                 1.1046,                0.95569,                0.87371,                 0.9139,                0.76817,                0.78921,                 0.6149,                 1.0292,             6.0174e-05,             6.0174e-05,             6.0174e-05
                     75,                0.82874,                0.45964,                 1.1006,                0.95187,                0.87478,                0.91219,                0.76739,                0.79069,                0.62481,                 1.0266,             5.8026e-05,             5.8026e-05,             5.8026e-05
                     76,                0.82557,                0.45293,                 1.0949,                0.95122,                0.87309,                 0.9105,                0.76589,                0.77936,                0.63133,                 1.0225,             5.5878e-05,             5.5878e-05,             5.5878e-05
                     77,                0.81717,                0.45509,                 1.0938,                0.95598,                0.87484,                0.91015,                0.76505,                0.78827,                0.62542,                 1.0327,             5.3729e-05,             5.3729e-05,             5.3729e-05
                     78,                0.80786,                0.45101,                 1.0818,                0.95415,                0.87547,                0.90976,                0.76772,                 0.7821,                0.62212,                 1.0274,             5.1581e-05,             5.1581e-05,             5.1581e-05
                     79,                0.79892,                0.45197,                 1.0827,                0.95464,                0.87623,                0.91204,                0.76782,                0.78558,                 0.6216,                 1.0262,             4.9433e-05,             4.9433e-05,             4.9433e-05
                     80,                0.79435,                0.44227,                 1.0767,                0.95665,                0.87798,                0.91308,                0.76476,                 0.8034,                0.62017,                 1.0365,             4.7284e-05,             4.7284e-05,             4.7284e-05
                     81,                0.79292,                0.44823,                 1.0778,                0.95554,                0.87411,                0.91201,                0.76611,                0.79562,                0.61945,                 1.0362,             4.5136e-05,             4.5136e-05,             4.5136e-05
                     82,                0.79327,                0.44253,                 1.0767,                0.94328,                0.87911,                0.91069,                0.76563,                0.79158,                0.62945,                 1.0338,             4.2988e-05,             4.2988e-05,             4.2988e-05
                     83,                0.78412,                0.43934,                 1.0724,                0.95744,                0.86989,                0.91133,                0.76601,                0.78713,                0.61833,                 1.0354,             4.0839e-05,             4.0839e-05,             4.0839e-05
                     84,                0.77127,                0.42927,                 1.0647,                0.95345,                0.87248,                 0.9144,                0.77226,                0.78595,                0.60986,                 1.0343,             3.8691e-05,             3.8691e-05,             3.8691e-05
                     85,                0.77406,                0.43256,                 1.0679,                0.95538,                 0.8725,                0.91311,                0.77026,                0.78889,                0.61735,                 1.0326,             3.6543e-05,             3.6543e-05,             3.6543e-05
                     86,                0.77079,                 0.4368,                 1.0589,                0.95443,                0.87302,                0.91271,                0.76768,                0.79157,                 0.6122,                 1.0353,             3.4395e-05,             3.4395e-05,             3.4395e-05
                     87,                0.76453,                0.43357,                  1.057,                0.94552,                0.87524,                0.91177,                0.76911,                0.78377,                 0.6283,                 1.0357,             3.2246e-05,             3.2246e-05,             3.2246e-05
                     88,                0.76181,                0.42586,                 1.0571,                0.95639,                0.86984,                0.91192,                0.77021,                0.78423,                0.61212,                  1.037,             3.0098e-05,             3.0098e-05,             3.0098e-05
